,,,,,a,b,c = d / (1 - d),d,e = d / (1 + a),"f = e x 4,5%",g = d x 0%,h,i = -b,j = e + f + g + h + i,k = j / e,,,,,,,,,,,,,,,,,,,,,,,
T/C:,"1,500.00",,,,,,,PRECIO PROMO,POR UNIDAD,,,,,,,,MARGEN NEGOCIO,,,,,,,,,,,,,,,,,,,,,
,,,,SIN IVA,,SIN IVA,,25.00%,,4.50%,,,,,,,"1,587","17,122,767","1,370,090",8.0%,,,,,,,,,,,,,,,,,,
COD. UNPO,DESCRIPCION,CATEGORIA,KG,COTO UNIT TOTAL USD,%IVA,COTO UNIT AR$,% DESC.ADIC.,PRECIO 25% MENOR A LISTA MELI CON IVA,PRECIO SIN IVA,IIBB,COMISION,,COTO UNIT AR$,MARGEN AR$,%MARGEN,,UNIDADES,FACT AR$,MARGEN,%,,,,,,,,,,,,,,,,,ORIGEN,FAMILIA
010300027,LUNCHERA PLÁSTICA BI COLOR COMPARTIMIENTO CUBIERTOS.,BAZAR,0.32,,21.0%,"5,201.34",10%,"8,496.38","7,021.80",(315.98),0.00,,"(5,201.34)","1,504",21.4%,,17,"119,370.65","25,576",21.4%,,,,,,,,,,,,,,,,,,
010300028,ACEITERO/VINAGRERO DE VIDRIO 300MI 369 PRODUCTO INACTIVO,BAZAR,0.30,,21.0%,"1,987.03",,"4,125.00","3,409.09",(153.41),0.00,,"(1,987.03)","1,269",37.2%,,50,"170,454.55","63,433",37.2%,,,,,,,,,,,,,,,,,,
010300029,COPA DE VIDRIO X6,BAZAR,2.70,,21.0%,"12,438.02",20%,"16,800.00","13,884.30",(624.79),0.00,,"(12,438.02)",821,5.9%,,25,"347,107.44","20,537",5.9%,,,,,,,,,,,,,,,,,,
010300030,ORGANIZADOR CON MANIJA 29 10CM 370,BAZAR,0.21,,21.0%,"2,279.23",30%,"3,570.00","2,950.41",(132.77),0.00,,"(2,279.23)",538,18.2%,,10,"29,504.13","5,384",18.2%,,,,,,,,,,,,,,,,,,
010300031,ORGANIZADOR CON MANIJA 29*15CM 370,BAZAR,0.25,,21.0%,"3,097.42",30%,"4,147.50","3,427.69",(154.25),0.00,,"(3,097.42)",176,5.1%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010600032,ALFOMBRA 40*60CM 41514,HOGAR,0.29,,21.0%,"3,841.32",10%,"6,885.00","5,690.08",(256.05),0.00,,"(3,841.32)","1,593",28.0%,,,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300033,PICADOR ELÉCTRICO RECARGABLE USB 300MI,BAZAR,0.22,,21.0%,"4,982.98",20%,"7,799.40","6,445.79",(290.06),0.00,,"(4,982.98)","1,173",18.2%,,9,"58,012.07","10,555",18.2%,,,,,,,,,,,,,,,,,,
010300034,BOLSAS PARA ALMACENAMIENTO AL VACÍO 60*80 CM 369,BAZAR,0.06,,21.0%,"1,314.94",50%,"1,987.50","1,642.56",(73.92),0.00,,"(1,314.94)",254,15.4%,,,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300035,BOLSAS PARA ALMACENAMIENTO AL VACIO 50*60 CM,BAZAR,0.06,,21.0%,"1,012.40",30%,"2,074.60","1,714.54",(77.15),0.00,,"(1,012.40)",625,36.5%,,,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300036,BOLSAS PARA ALMACENAMIENTO AL VACÍO 80*110 CM,BAZAR,0.13,,21.0%,"2,134.71",20%,"3,780.00","3,123.97",(140.58),0.00,,"(2,134.71)",849,27.2%,,,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010600037,PERCHAS 39CM PACK X10 372,HOGAR,0.23,,21.0%,"1,431.83",20%,"2,520.00","2,082.64",(93.72),0.00,,"(1,431.83)",557,26.7%,,,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300038,INFUSOR COLADOR DE TE 42810,BAZAR,0.02,,21.0%,"2,813.18",10%,"4,860.00","4,016.53",(180.74),0.00,,"(2,813.18)","1,023",25.5%,,,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300039,LUNCHERA TÉRMICA OSO ACERO,BAZAR,0.32,,21.0%,"7,376.61",15%,"11,380.27","9,405.18",(423.23),0.00,,"(7,376.61)","1,605",17.1%,,14,"131,672.52","22,475",17.1%,,,,,,,,,,,,,,,,,,
010300040,SET X3 RECIPIENTES HERMETICOS DE VIDRIO 330/600/900MI,BAZAR,1.50,,21.0%,"14,752.07",10%,"21,600.00","17,851.24",(803.31),0.00,,"(14,752.07)","2,296",12.9%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020600041,HUMIDIFICADOR PIPE MADERA CLARO 500 ML,HOGAR,0.50,6.71,21.0%,"10,059.89",35%,"13,650.00","11,280.99",(507.64),0.00,,"(10,059.89)",713,6.3%,,2,"22,561.98","1,427",6.3%,,,,,,,,,,,,,,,,,,
020600042,HUMIDIFICADOR PIPE MADERA OSCURO 500 ML,HOGAR,0.50,6.71,21.0%,"10,059.89",35%,"13,650.00","11,280.99",(507.64),0.00,,"(10,059.89)",713,6.3%,,2,"22,561.98","1,427",6.3%,,,,,,,,,,,,,,,,,,
020600043,HUMIDIFICADOR LONG NECK MADERA CLARO 500 ML,HOGAR,0.60,7.42,21.0%,"11,125.51",30%,"15,225.00","12,582.64",(566.22),0.00,,"(11,125.51)",891,7.1%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
020600044,HUMIDIFICADOR LONG NECK MADERA OSURO 500 ML,HOGAR,0.60,7.42,21.0%,"11,125.51",30%,"15,225.00","12,582.64",(566.22),0.00,,"(11,125.51)",891,7.1%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
